path_index,feature_values,feature_values_normalized,feature_outcomes_normalized,is_critical,is_maxima,is_minima,is_inflection,is_saddle,num_critical,num_maxima,num_minima,num_inflection,num_saddle,feature,fit,lambda,xlabel,ylabel,feature_friendly,feature_description,sensitivity,feature_outcomes,slope
298,766.80602007,-0.634953084,-0.277862396,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,148521.01655,
298,766.80602007,-0.634953084,-0.277862396,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,148521.01655,
298,783.84615385,-0.596428317,-0.274249992,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,148806.7644,
298,783.84615385,-0.596428317,-0.274249992,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,148806.7644,
298,800.88628763,-0.55790355,-0.270487621,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,149104.37488,
298,800.88628763,-0.55790355,-0.270487621,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,149104.37488,
298,817.9264214,-0.519378783,-0.266563681,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,149414.76581,
298,817.9264214,-0.519378783,-0.266563681,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,149414.76581,
298,834.96655518,-0.480854017,-0.262466568,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,149738.85499,
298,834.96655518,-0.480854017,-0.262466568,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,149738.85499,
298,852.00668896,-0.44232925,-0.258184681,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,150077.56022,
298,852.00668896,-0.44232925,-0.258184681,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,150077.56022,
298,869.04682274,-0.403804483,-0.253706416,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,150431.7993,
298,869.04682274,-0.403804483,-0.253706416,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,150431.7993,
298,886.08695652,-0.365279716,-0.24902017,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,150802.49004,
298,886.08695652,-0.365279716,-0.24902017,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,150802.49004,
298,903.1270903,-0.32675495,-0.24411434,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,151190.55024,
298,903.1270903,-0.32675495,-0.24411434,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,151190.55024,
298,920.16722408,-0.288230183,-0.238977324,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,151596.8977,
298,920.16722408,-0.288230183,-0.238977324,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,151596.8977,
298,937.20735786,-0.249705416,-0.233597519,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,152022.45024,
298,937.20735786,-0.249705416,-0.233597519,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,152022.45024,
298,954.24749164,-0.21118065,-0.227964096,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,152468.06448,
298,954.24749164,-0.21118065,-0.227964096,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,152468.06448,
298,971.28762542,-0.172655883,-0.222076537,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,152933.78129,
298,971.28762542,-0.172655883,-0.222076537,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,152933.78129,
298,988.3277592,-0.134131116,-0.215941668,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,153419.06077,
298,988.3277592,-0.134131116,-0.215941668,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,153419.06077,
298,1005.367893,-0.095606349,-0.209566472,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,153923.35057,
298,1005.367893,-0.095606349,-0.209566472,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,153923.35057,
298,1022.4080268,-0.057081583,-0.202957932,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,154446.09832,
298,1022.4080268,-0.057081583,-0.202957932,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,154446.09832,
298,1039.4481605,-0.018556816,-0.196123031,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,154986.75167,
298,1039.4481605,-0.018556816,-0.196123031,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,154986.75167,
298,1056.4882943,0.019967951,-0.189068751,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,155544.75828,
298,1056.4882943,0.019967951,-0.189068751,0,0,0,0,0,1,1,0,2,0,Total_Bsmt_SF,non_linear,1.41,0,0,Total Basement Area,Total square feet of basement area,0.3512658235,155544.75828,
